# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
0.0003942830905   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6794267799e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
0.0003942830905   	k                 	1.0445091454e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0334714928e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
0.0003942830905   	omega             	1.8671517088e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368527e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0003942830905   	p                 	-1.7932861357e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7518878032e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
0.0004115892761   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6795201256e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
0.0004115892761   	k                 	1.0479960672e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0327227689e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
0.0004115892761   	omega             	1.8671518254e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368534e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0004115892761   	p                 	-1.7943489287e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7515066847e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
0.0004288952128   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6796038751e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
0.0004288952128   	k                 	1.0515602817e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0319608942e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
0.0004288952128   	omega             	1.8671519420e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368542e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0004288952128   	p                 	-1.7952616855e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7511142025e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
0.0004462012165   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6796800965e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
0.0004462012165   	k                 	1.0552079301e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0311861979e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
0.0004462012165   	omega             	1.8671520585e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368549e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0004462012165   	p                 	-1.7960587517e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7507656193e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
0.0004635075574   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6797484456e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
