# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
0.0004892992      	p                 	-1.9915358952e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.9626645114e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0005142992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	9.4987213155e-01	(1.3350462904e-01 4.4838721827e-02 1.8248397230e-01)	1
0.0005142992      	k                 	5.5319638593e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0284142114e-02	(1.2149999031e-01 4.2542478763e-02 1.4753856982e-01)	1
0.0005142992      	omega             	1.9982980724e+01	(-3.7825125598e-01 4.4374162605e-01 3.2800234923e-01)	2	1.6962361624e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0005142992      	p                 	-1.9933522835e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.9675983583e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0005392992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	9.8635228694e-01	(1.3350462904e-01 4.4838721827e-02 1.8248397230e-01)	1
0.0005392992      	k                 	5.3970415012e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0310251434e-02	(1.2149999031e-01 4.2542478763e-02 1.4753856982e-01)	1
0.0005392992      	omega             	1.9982154152e+01	(-3.7825109201e-01 4.4374127905e-01 3.4400427963e-01)	2	1.6962361624e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0005392992      	p                 	-1.9927837387e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.9719640971e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0005642992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	1.0218299380e+00	(1.3350462904e-01 4.4838721827e-02 1.8248397230e-01)	1
0.0005642992      	k                 	5.2740614429e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0337068109e-02	(1.2149999031e-01 4.2542478763e-02 1.4753856982e-01)	1
0.0005642992      	omega             	1.9981327648e+01	(-3.7825109201e-01 4.4374127905e-01 3.4400427963e-01)	2	1.6962361624e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0005642992      	p                 	-1.9983453650e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.9754291493e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0005892992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	1.0563081232e+00	(1.3350462904e-01 4.4838721827e-02 1.8248397230e-01)	1
0.0005892992      	k                 	5.1613780774e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0364600530e-02	(1.2149999031e-01 4.2542478763e-02 1.4753856982e-01)	1
0.0005892992      	omega             	1.9980501212e+01	(-3.7825109201e-01 4.4374127905e-01 3.4400427963e-01)	2	1.6962361624e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0005892992      	p                 	-1.9949350477e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.9785461597e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0006142992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	1.0897935502e+00	(1.3350462904e-01 4.4838721827e-02 1.8248397230e-01)	1
0.0006142992      	k                 	5.0575840714e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0392858713e-02	(1.2149999031e-01 4.2542478763e-02 1.4753856982e-01)	1
0.0006142992      	omega             	1.9979674845e+01	(-3.7825109201e-01 4.4374127905e-01 3.4400427963e-01)	2	1.6962361624e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0006142992      	p                 	-2.0007223012e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.9816578228e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0006392992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	1.1222924682e+00	(1.3350462904e-01 4.4838721827e-02 1.8248397230e-01)	1
0.0006392992      	k                 	4.9615527513e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0421853702e-02	(1.2149999031e-01 4.2542478763e-02 1.4753856982e-01)	1
0.0006392992      	omega             	1.9978848547e+01	(-3.7825109201e-01 4.4374127905e-01 3.4400427963e-01)	2	1.6962361624e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0006392992      	p                 	-1.9987158186e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.9847136677e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0006642992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	1.1538249883e+00	(1.3350462904e-01 4.4838721827e-02 1.8248397230e-01)	1
0.0006642992      	k                 	4.8724550591e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0451597233e-02	(1.2149999031e-01 4.2542478763e-02 1.4753856982e-01)	1
0.0006642992      	omega             	1.9978022316e+01	(-3.7825109201e-01 4.4374127905e-01 3.4400427963e-01)	2	1.6962361624e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0006642992      	p                 	-2.0006490726e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.9879014114e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0006892992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	1.1844129251e+00	(1.3350462904e-01 4.4838721827e-02 1.8248397230e-01)	1
0.0006892992      	k                 	4.7896084228e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0482101487e-02	(1.2149999031e-01 4.2542478763e-02 1.4753856982e-01)	1
0.0006892992      	omega             	1.9977196154e+01	(-3.7825109201e-01 4.4374127905e-01 3.4400427963e-01)	2	1.6962361624e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0006892992      	p                 	-1.9976214799e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.9903992537e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0007142992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	1.2140745888e+00	(1.3350462904e-01 4.4838721827e-02 1.8248397230e-01)	1
0.0007142992      	k                 	4.7124049319e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0513426022e-02	(1.0649999393e-01 4.2517385589e-02 1.4546320639e-01)	1
0.0007142992      	omega             	1.9976370060e+01	(-3.7825109201e-01 4.4374127905e-01 3.4400427963e-01)	2	1.6962361624e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0007142992      	p                 	-2.0021069361e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.9932672117e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0007392992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	1.2428346884e+00	(1.3350462904e-01 4.4838721827e-02 1.8248397230e-01)	1
0.0007392992      	k                 	4.6403666908e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0546511415e-02	(1.0649999393e-01 4.2517385589e-02 1.4546320639e-01)	1
0.0007392992      	omega             	1.9975544035e+01	(-3.7825109201e-01 4.4374127905e-01 3.4400427963e-01)	2	1.6962361624e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0007392992      	p                 	-2.0035152829e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.9954816406e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0007642992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	1.2707265945e+00	(1.3350462904e-01 4.4838721827e-02 1.8248397230e-01)	1
