# Region type :   patch ambient_openings
# Faces           : 8098
# Area            : 2.0799987579e+00
# Scale factor    : 1.0000000000e+00
# Time            	sumMag(phi)
0.0062892992      	2.3959810770e-03
0.0063142992      	2.4053681588e-03
0.0063392992      	2.4147543707e-03
0.0063642992      	2.4241396130e-03
0.0063892992      	2.4335238686e-03
0.0064142992      	2.4429072112e-03
0.0064392992      	2.4522894632e-03
0.0064642992      	2.4616707178e-03
0.0064892992      	2.4710509263e-03
0.0065142992      	2.4804301329e-03
0.0065392992      	2.4898083084e-03
0.0065642992      	2.4991854903e-03
0.0065892992      	2.5085616382e-03
0.0066142992      	2.5179369173e-03
0.0066392992      	2.5273112288e-03
0.0066642992      	2.5366845501e-03
0.0066892992      	2.5460568479e-03
0.0067142992      	2.5554282583e-03
0.0067392992      	2.5647985443e-03
0.0067642992      	2.5741678158e-03
0.0067892992      	2.5835362030e-03
0.0068142992      	2.5929037481e-03
0.0068392992      	2.6022703897e-03
0.0068642992      	2.6116361657e-03
0.0068892992      	2.6210007533e-03
0.0069142992      	2.6303642646e-03
0.0069392992      	2.6397266250e-03
0.0069642992      	2.6490880960e-03
0.0069892992      	2.6584486259e-03
0.0070142992      	2.6678081697e-03
0.0070392992      	2.6771667614e-03
0.0070642992      	2.6865244145e-03
0.0070892992      	2.6958811561e-03
0.0071142992      	2.7052369272e-03
0.0071392992      	2.7145917184e-03
0.0071642992      	2.7239454509e-03
0.0071892992      	2.7332982432e-03
0.0072142992      	2.7426500616e-03
0.0072392992      	2.7520008188e-03
0.0072642992      	2.7613506103e-03
0.0072892992      	2.7706993011e-03
0.0073142992      	2.7800468406e-03
0.0073392992      	2.7893932739e-03
0.0073642992      	2.7987385200e-03
0.0073892992      	2.8080827421e-03
0.0074142992      	2.8174258599e-03
0.0074392992      	2.8267680234e-03
0.0074642992      	2.8361090914e-03
0.0074892992      	2.8454491230e-03
0.0075142992      	2.8547880712e-03
0.0075392992      	2.8641260754e-03
0.0075642992      	2.8734629712e-03
0.0075892992      	2.8827988217e-03
0.0076142992      	2.8921333776e-03
0.0076392992      	2.9014667917e-03
0.0076642992      	2.9107989792e-03
0.0076892992      	2.9201300227e-03
0.0077142992      	2.9294601046e-03
0.0077392992      	2.9387891060e-03
0.0077642992      	2.9481169936e-03
0.0077892992      	2.9574438135e-03
0.0078142992      	2.9667695848e-03
0.0078392992      	2.9760941935e-03
0.0078642992      	2.9854176140e-03
0.0078892992      	2.9947396607e-03
0.0079142992      	3.0040603754e-03
0.0079392992      	3.0133796952e-03
0.0079642992      	3.0226977817e-03
0.0079892992      	3.0320146243e-03
0.0080142992      	3.0413302338e-03
0.0080392992      	3.0506447421e-03
0.0080642992      	3.0599580442e-03
0.0080892992      	3.0692700015e-03
0.0081142992      	3.0785804766e-03
0.0081392992      	3.0878895441e-03
0.0081642992      	3.0971972486e-03
0.0081892992      	3.1065037428e-03
0.0082142992      	3.1158090892e-03
0.0082392992      	3.1251133139e-03
0.0082642992      	3.1344163686e-03
0.0082892992      	3.1437180131e-03
0.0083142992      	3.1530183342e-03
0.0083392992      	3.1623172633e-03
0.0083642992      	3.1716148937e-03
0.0083892992      	3.1809113197e-03
0.0084142992      	3.1902064560e-03
0.0084392992      	3.1995003922e-03
0.0084642992      	3.2087930121e-03
0.0084892992      	3.2180843470e-03
0.0085142992      	3.2273745518e-03
0.0085392992      	3.2366636262e-03
0.0085642992      	3.2459515155e-03
0.0085892992      	3.2552380724e-03
0.0086142992      	3.2645233392e-03
0.0086392992      	3.2738072464e-03
0.0086642992      	3.2830899961e-03
0.0086892992      	3.2923714849e-03
0.0087142992      	3.3016518256e-03
